name,price,barcode,details
i,£19.99,5051892211475,"Actors,Steven Williams, Javier Botet, Megan Charpentier, Bill Skarsgard, Nicholas Hamilton, Owen Teague, Finn Wolfhard, Jaeden Liberher, Sophia Lillis, Wyatt Oleff, Jackson Robert Scott, Jeremy Ray Taylor, Jaeden Lieberher,Directed by,Andy Muschietti,Additional info,Language(s): English, 4K: French, German, Castilian Spanish, Czech, Italian, Polish, Hard of Hearing Subtitles: English, German, Italian, Subtitles: 4K: Castilian Spanish, Czech, Danish, Dutch, Finnish, French, Polish, Norwegian, Swedish. Blu-ray: Bulgarian, Castilian Spanish, Croatian, Estonian, Greek, Hebrew, Latvian, Lithuanian, Slovenian, Interactive Menu, Screen ratio 1:1.78, Dolby TrueHD, 5.1 DTS-HD Master Audio, Dolby Digital 5.1,No. of discs,2 disc(s),Duration,135 mins"
abominabl,£19.99,5053083207571,"Directed by,Jill Culton, Todd Wilderman,Additional info,Language(s): English, Hard of Hearing Subtitles: English, Interactive Menu, Screen ratio 1:1.85,No. of discs,1 disc(s),Duration,97 mins"
the-secret-life-of-pets-,£19.99,5053083196257,"Directed by,Chris Renaud, Jonathan del Val,Additional info,Language(s): English, Anglicized English, Hard of Hearing Subtitles: English, Interactive Menu, Screen ratio 1:1.85,No. of discs,2 disc(s),Duration,86 mins"
the-mul,£19.99,5051892220590,"Actors,Laurence Fishburne, Dianne Wiest, Clint Eastwood, Michael Pena, Andy Garcia, Bradley Cooper, Loren Dean, Ignacio Serricchio, Taissa Farmiga, Alison Eastwood,Directed by,Clint Eastwood,Additional info,Language(s): English, 4K: Castilian Spanish, Czech, French, German, Italian, Polish, Russian; Blu-ray: Castilian Spanish, Hard of Hearing Subtitles: English, German, Italian, Subtitles: 4K: Castilian Spanish, Complex Chinese, Czech, Danish, Dutch, Finnish, French, Greek, Norwegian, Polish, Portuguese, Romanian, Russian, Swedish; Blu-ray: Castilian Spanish, Danish, Dutch, Finnish, French, Greek, Norwegian, Swedish, Interactive Menu, Screen ratio 1:1.78, 5.1 DTS-HD Master Audio, Dolby Digital 5.1,No. of discs,2 disc(s),Duration,116 mins"
first-ma,£19.99,5053083173869,"Actors,Pablo Schreiber, Corey Stoll, Kyle Chandler, Ryan Gosling, Claire Foy, Christopher Abbott, Brian d'Arcy James, Ciaran Hinds, Patrick Fugit, Shea Whigham, Jason Clarke,Directed by,Damien Chazelle,Additional info,Language(s): English, Hard of Hearing Subtitles: English, Interactive Menu, Screen ratio 1:2.39,No. of discs,2 disc(s),Duration,141 mins"
warcraft-the-beginning-(1,£19.99,5053083093112,"Actors,Dominic Cooper, Toby Kebbell, Ruth Negga, Paula Patton, Travis Fimmel, Ben Schnetzer, Robert Kazinsky, Rob Kazinsky, Ben Foster, Daniel Wu, Anna Galvin,Directed by,Duncan Jones,Additional info,Language(s): English, Spanish, French, German, Hindi, Italian, Hard of Hearing Subtitles: English, Subtitles: Arabic, Spanish, Danish, Dutch, Finnish, French, German, Hindi, Icelandic, Italian, Norwegian, Portuguese, Swedish, Interactive Menu, Scene Access, Screen ratio 1:2.40, Dolby Digital 5.1, Dolby Digital 2.0,No. of discs,2 disc(s),Duration,130 mins"
bill-ted-face-the-musi,£19.99,5051892226981,"Actors,William Sadler, Keanu Reeves, Jayma Mays, Kristen Schaal, Holland Taylor, Alex Winter, Brigette Lundy-Paine, Samara Weaving, Anthony Carrigan, Erinn Hayes,Directed by,Dean Parisot,Additional info,Language(s): 4K: English, Blu-ray: English, Hard of Hearing Subtitles: English, Interactive Menu, Screen ratio 1:1.78, Dolby TrueHD, 5.1 DTS-HD Master Audio,No. of discs,2 disc(s),Duration,92 mins"
apollo-1,£19.99,5053083113735,"Actors,Kathleen Quinlan, Kevin Bacon, David Andrews, Tom Hanks, Bill Paxton, Ed Harris, Gary Sinise, Joe Spano, Max Elliott Slade, Tracy Reiner, Miko Hughes, Max Elliot Slade, Jean Speegle Howard, Mary Kate Schellhardt, Emily Ann Lloyd, Jean Speegle Howard, Chris Ellis,Directed by,Ron Howard,Additional info,Language(s): Disc 1: English, Czech, French, Polish, Disc 2: English, Brazilian Portuguese, German, Italian, Japanese, Latin American Spanish, Hard of Hearing Subtitles: English, Subtitles: Disc 1: Complex Mandarin, Czech, Danish, Dutch, Finnish, French, Greek, Norwegian, Polish, Swedish; Disc 2: Brazilian Portuguese, Spanish, Danish, Dutch, Finnish, Canadian French, French, German,  Italian, Japanese, Latin American Spanish, Norwegian, Swedish, Interactive Menu, Screen ratio 1:2.35, DTS 5.1,No. of discs,2 disc(s),Duration,134 mins"
ender-s-gam,£19.99,5053083227494,"Actors,Ben Kingsley, Harrison Ford, Viola Davis, Nonso Anozie, Abigail Breslin, Moises Arias, Asa Butterfield, Aramis Knight, Hailee Steinfeld,Directed by,Gavin Hood,Additional info,Language(s): English, Hard of Hearing Subtitles: English, Interactive Menu, Screen ratio 1:2.40,No. of discs,2 disc(s),Duration,114 mins"
the-accountan,£19.99,5051892204194,"Actors,Jeffrey Tambor, Anna Kendrick, Ben Affleck, J.K. Simmons, John Lithgow, Jon Bernthal, Fernando Chien, Cynthia Addai-Robinson, Alison Wright, Kelly Collins Lintz,Directed by,Gavin O'Connor,Additional info,Language(s): English, Brazilian Potuguese, Castilian Spanish, Czech, French, German, Italian, Latin Spanish, Polish, Hard of Hearing Subtitles: English, German, Italian, Subtitles: 4K Blu-ray: Arabic, Brazilian Portuguese,Cantonese, Castilian Spanish, Complex Chinese, Czech, Danish, Dutch, Finnish, French, Korean, Latin Spanish, Norwegian, Swedish.  Blu-ray: Castilian Spanish, Danish, Dutch, Finnish, French, Greek, Icelandic, Norwegian, Swedish, Interactive Menu, Screen ratio 1:1.78, 7.1 DTS-HD Master Audio, Dolby Digital 5.1,No. of discs,2 disc(s),Duration,128 mins"
